,word,type
497,gunt,nonslang
498,hasbian,nonslang
499,hells,nonslang
500,horribad,nonslang
501,hypermiler,nonslang
502,incel,nonslang
503,jabroni,nonslang
504,jalopy,nonslang
505,jerkwad,nonslang
508,lame-o,nonslang
509,lemme,nonslang
510,linner,nonslang
512,lowkey,nonslang
513,meme,nonslang
514,120565252,nonslang
516,mosey,nonslang
517,motherfucking,nonslang
518,7953152,nonslang
519,mozzie,nonslang
520,netizen,nonslang
521,next-level,nonslang
522,nuker,nonslang
523,okee-doke,nonslang
525,pedo,nonslang
526,peeps,nonslang
527,plastered,nonslang
528,poopy,nonslang
529,33246647,nonslang
530,preemie,nonslang
531,pregos,nonslang
532,prettyful,nonslang
533,punanni,nonslang
534,rachet,nonslang
536,rapey,nonslang
537,rehab,nonslang
538,relly,nonslang
539,revert,nonslang
540,roofie,nonslang
541,roshambo,nonslang
542,sesh,nonslang
543,shart,nonslang
544,shiesty,nonslang
545,shiznat,nonslang
546,shtick,nonslang
547,sicc,nonslang
548,184790413,nonslang
549,sinse,nonslang
550,sis,slang
552,skeevy,nonslang
553,skyrocket,nonslang
555,slore,nonslang
556,snitch,nonslang
557,soused,nonslang
558,spam,nonslang
559,spec-ops,nonslang
560,spec,nonslang
561,179026588,nonslang
562,179027738,nonslang
563,sploof,nonslang
567,sucky,nonslang
568,tardnation,nonslang
569,tenner,nonslang
570,28199785,nonslang
571,thingamabob,nonslang
575,trisexual,nonslang
576,tweeker,nonslang
577,twit,nonslang
579,wang,nonslang
580,whadja,nonslang
581,whooty,nonslang
582,workaround,nonslang
583,wut,nonslang
585,zooted,nonslang
586,zories,nonslang
604,WOYM,nonslang
737,yeet,nonslang
742,2day,slang
743,2m2h,slang
744,2moro,slang
745,2nite,slang
746,4eae,slang
747,aaf,slang
748,aar,slang
749,aayf,slang
750,abd,slang
751,ack,slang
752,adih,slang
753,adn,slang
754,adr,slang
755,aeap,slang
756,afaic,slang
757,afaik,slang
758,aka,slang
759,ama,slang
760,ambw,slang
761,aml,slang
762,aota,slang
763,asap,slang
764,atb,slang
765,ateotd,slang
766,atm,slang
767,awol,slang
768,aydy,slang
769,ayec,slang
770,ayor,slang
771,ays,slang
772,aysos,slang
773,ayt,slang
774,b/c,slang
775,b4,slang
776,b4n,slang
777,bau,slang
778,bbiaf,slang
779,bbiam,slang
780,bbias,slang
781,bbs,slang
782,bbt,slang
783,bcnu,slang
784,bcoy,slang
785,bd,slang
786,bf,slang
787,bfaw,slang
788,bfd,slang
789,bff,slang
790,bffn,slang
791,bfn,slang
792,bg,slang
793,bgwm,slang
794,bhl8,slang
795,bib,slang
796,bn,slang
797,bol,slang
798,bot,slang
799,boyf,slang
800,brb,slang
801,brh,slang
803,brt,slang
804,bt,slang
805,btw,slang
806,byoc,slang
807,cmb,slang
808,cmiiw,slang
809,cob,slang
810,csl,slang
811,cu,slang
812,cua,slang
813,cul,slang
814,cwyl,slang
815,cya,slang
816,cye,slang
817,cyo,slang
818,dkdc,slang
819,dm,slang
820,dts,slang
821,dur,slang
822,dwbh,slang
823,e1,slang
824,ef4t,slang
825,eod,slang
826,f2f,slang
827,ftf,slang
828,faq,slang
829,fb,slang
830,ff,slang
831,fish,slang
832,fitb,slang
833,ftbomh,slang
834,ftl,slang
835,ftw,slang
836,fwb,slang
837,fwiw,slang
838,fyeo,slang
839,fyi,slang
840,g4c,slang
841,ga,slang
842,gac,slang
843,gas,slang
844,gb,slang
845,gbu,slang
846,gf,slang
847,gfn,slang
848,glhf,slang
849,gmta,slang
850,gnite,slang
851,gr8,slang
852,gratz,slang
853,grl,slang
854,gtsy,slang
855,h&k,slang
856,h2cus,slang
857,h8,slang
858,hag1,slang
859,hagn,slang
860,hand,slang
861,hawt,slang
862,hmb,slang
863,hmu,slang
864,hoas,slang
865,hru,slang
866,ht,slang
867,hth,slang
868,hw,slang
869,iac,slang
870,iae,slang
871,ianal,slang
872,iao,slang
873,ic,slang
874,icymi,slang
875,idc,slang
876,ihni,slang
877,iirc,slang
878,ikr,slang
879,ily,slang
880,im,slang
881,imho,slang
882,imo,slang
883,ims,slang
884,irl,slang
885,isly,slang
886,iso,slang
887,iu2u,slang
888,iykwim,slang
889,j/k,slang
890,j4f,slang
891,jff,slang
892,jic,slang
893,jlmk,slang
894,jmo,slang
895,jsyk,slang
896,jw,slang
897,k,slang
898,kk,slang
899,kiss,slang
900,kit,slang
901,l8,slang
902,l8r,slang
903,lho,slang
904,lmao,slang
905,lmbo,slang
906,lmk,slang
907,lol,slang
908,loti,slang
909,ltns,slang
910,lylas,slang
911,lysm,slang
912,mc,slang
913,mgmt,slang
914,mm,slang
915,msm,slang
916,mu,slang
917,myob,slang
918,nagi,slang
919,nfm,slang
920,nfs,slang
921,nm,slang
922,noyb,slang
923,np,slang
924,nsfl,slang
925,nsfw,slang
926,nts,slang
927,nvm,slang
928,oh,slang
929,oic,slang
930,omg,slang
931,omw,slang
932,orly,slang
933,ot,slang
934,otb,slang
935,otoh,slang
936,otp,slang
937,ott,slang
938,paw,slang
939,pcm,slang
940,pls,slang
941,pov,slang
942,ppl,slang
943,ptb,slang
944,ptmm,slang
945,qq,slang
946,rak,slang
947,rbtl,slang
948,rip,slang
949,rl,slang
950,rofl,slang
951,rt ,slang
952,rtm,slang
953,rys,slang
954,sby,slang
955,sfaik,slang
956,sh,slang
957,simyc,slang
959,sitd,slang
960,smh,slang
961,sol,slang
962,srsly,slang
963,sry,slang
964,ssdd,slang
965,stby,slang
966,swak,slang
967,swyp,slang
968,tafn,slang
969,tba,slang
970,tbc,slang
971,tbh,slang
972,tbl,slang
973,tcb,slang
974,tfh,slang
975,tfs,slang
976,tfti,slang
977,tgif,slang
978,thx,slang
979,tia,slang
980,tiad,slang
981,time,slang
982,tlc,slang
983,tlk2ul8r,slang
984,tmi,slang
985,tmrw,slang
986,ttyl,slang
987,ttys,slang
988,tyfyc,slang
989,tyvm,slang
990,u4e,slang
991,ur,slang
992,vat,slang
993,vbg,slang
994,vsf,slang
995,wam,slang
996,wb,slang
997,wc,slang
998,we,slang
999,weg,slang
1000,witp,slang
1001,wknd,slang
1002,wtf,slang
1003,wth,slang
1004,wtpa,slang
1005,wuf,slang
1006,wycm,slang
1007,wywh,slang
1008,xlnt,slang
1009,xoxo,slang
1010,ycmu,slang
1011,ygm,slang
1012,ymmv,slang
1013,yolo,slang
1014,ytb,slang
1015,yw,slang
1016,ywsyls,slang
1017,aab,slang
1018,aac,slang
1019,aak,slang
1020,aamof,slang
1021,aap,slang
1022,aarp,slang
1023,aat,slang
1024,aawy,slang
1025,abc,slang
1026,abdc,slang
1027,abf,slang
1028,abfab,slang
1029,abg,slang
1030,abh,slang
1031,abp,slang
1032,abu,slang
1033,ac,slang
1034,aclu,slang
1035,acme,slang
1036,acp,slang
1037,acta,slang
1038,acu,slang
1039,ad,slang
1040,adad,slang
1041,add,slang
1042,aded,slang
1043,adgth,slang
1044,adhd,slang
1045,adl,slang
1046,ads,slang
1047,adsl,slang
1048,adtr,slang
1049,ae,slang
1050,aeae,slang
1051,afaia,slang
1052,afaiaa,slang
1053,afaiac,slang
1054,afaics,slang
1055,afaict,slang
1056,afair,slang
1057,afap,slang
1058,afc,slang
1059,affa,slang
1060,afi,slang
1061,afk,slang
1062,afl,slang
1063,afn,slang
1064,afp,slang
1065,afrl,slang
1066,afs,slang
1067,agc,slang
1068,agh,slang
1069,agm,slang
1070,agp,slang
1071,agt,slang
1072,agw,slang
1073,ai,slang
1074,aib,slang
1075,aids,slang
1076,aigf,slang
1077,aiic,slang
1078,aikrn,slang
1079,aimh,slang
1080,ainec,slang
1081,aio,slang
1082,aisb,slang
1083,aisi,slang
1084,aitr,slang
1085,aityd,slang
1086,aiui,slang
1087,aiyc,slang
1088,aj,slang
1089,aktf,slang
1090,alf,slang
1091,alg,slang
1092,alihal,slang
1093,alkqn,slang
1094,alol,slang
1095,alotbsol,slang
1096,alu,slang
1097,alwp,slang
1098,am,slang
1099,amaa,slang
1100,amap,slang
1101,amc,slang
1102,amd,slang
1103,amg,slang
1104,amn,slang
1105,amof,slang
1106,amog,slang
1107,amt,slang
1108,amv,slang
1109,amw,slang
1110,an,slang
1111,anc,slang
1112,anfawfos,slang
1113,anfscd,slang
1114,ansi,slang
1115,antm,slang
1116,anzac,slang
1117,ao,slang
1118,aob,slang
1119,aod,slang
1120,aoe,slang
1121,aok,slang
1122,aom,slang
1123,aon,slang
1124,aos,slang
1125,aot,slang
1126,aots,slang
1127,aow,slang
1128,aoyp,slang
1129,ap,slang
1130,apb,slang
1131,apc,slang
1132,api,slang
1133,apm,slang
1134,apn,slang
1135,apo,slang
1136,apu,slang
1137,apyr,slang
1138,aq,slang
1139,aqap,slang
1140,aqf,slang
1141,ar,slang
1142,ark,slang
1143,arpa,slang
1144,arpanet,slang
1145,arpu,slang
1146,asaic,slang
1147,asaik,slang
1148,asas,slang
1149,asat,slang
1150,asayc,slang
1151,asbo,slang
1152,ascii,slang
1153,aspca,slang
1154,at&t,slang
1155,ata,slang
1156,atap,slang
1157,atc,slang
1158,atd,slang
1159,atf,slang
1160,atgatt,slang
1161,ath,slang
1162,atmo,slang
1163,atn,slang
1164,atoy,slang
1165,atq,slang
1166,atst,slang
1167,att,slang
1168,attt,slang
1169,atv,slang
1170,atvb,slang
1171,atw,slang
1172,atwa,slang
1173,bac,slang
1174,bacs,slang
1175,bagl,slang
1176,bah,slang
1177,bb,slang
1178,bb4n,slang
1179,bbam,slang
1180,bbb,slang
1181,bbbw,slang
1182,bbc,slang
1183,bbeg,slang
1184,bbfl,slang
1185,bbfn,slang
1186,bbg,slang
1187,bbiab,slang
1188,bbiaw,slang
1189,bbk,slang
1190,bbl,slang
1191,bbm,slang
1192,bbml,slang
1193,bbn,slang
1194,bbo,slang
1195,bbq,slang
1196,bbr,slang
1197,bbv,slang
1198,bbw,slang
1199,bbwl,slang
1200,bc,slang
1201,bcbw,slang
1202,bcc,slang
1203,bcd,slang
1204,bce,slang
1205,bcf,slang
1206,bcg,slang
1207,bcs,slang
1208,bdn,slang
1209,bdoml,slang
1210,bdu,slang
1211,bfa,slang
1212,bfab,slang
1213,bfam,slang
1214,bfb,slang
1215,bffae,slang
1216,bffl,slang
1217,bffle,slang
1218,bffltddup,slang
1219,bffwb,slang
1220,bfitw,slang
1221,bfk,slang
1222,bfmv,slang
1223,bfp,slang
1224,bftp,slang
1225,bfut,slang
1226,bfwb,slang
1227,bgd,slang
1228,bgf,slang
1229,bgl,slang
1230,bgm,slang
1231,bgt,slang
1232,bh,slang
1233,bhd,slang
1234,bhh,slang
1235,bhm,slang
1236,bho,slang
1237,bhs,slang
1238,biab,slang
1239,bic,slang
1240,bicbw,slang
1241,bieh,slang
1242,biffl,slang
1243,bing,slang
1244,bm,slang
1245,bm4l,slang
1246,bmak,slang
1247,bmb,slang
1248,bmbo,slang
1249,bme,slang
1250,bmfe,slang
1251,bmfl,slang
1252,bmg,slang
1253,bmi,slang
1254,bml,slang
1255,bmoc,slang
1256,bms,slang
1257,bmt,slang
1258,bmth,slang
1259,bmttve,slang
1260,bmus,slang
1261,bmv,slang
1262,bmw,slang
1263,bmx,slang
1264,bnb,slang
1265,bnf,slang
1266,bni,slang
1267,bnib,slang
1268,bnoc,slang
1269,bnp,slang
1270,bnr,slang
1271,bnwot,slang
1272,bnwt,slang
1273,bo,slang
1274,boat,slang
1275,bobfoc,slang
1276,boed,slang
1277,bogo,slang
1278,bogof,slang
1279,bogsat,slang
1280,cc,slang
1281,ccc,slang
1282,ccg,slang
1283,ccie,slang
1284,ccl,slang
1285,ccna,slang
1286,ccr,slang
1287,cctv,slang
1288,ccw,slang
1289,cd,slang
1290,cdc,slang
1291,cdma,slang
1292,cd rw,slang
1293,clwy,slang
1294,cm,slang
1295,cmar,slang
1296,cme,slang
1297,cmeo,slang
1298,cmh,slang
1299,cmho,slang
1300,cmi,slang
1301,cmiyc,slang
1302,cml,slang
1303,cmn,slang
1304,cmos,slang
1305,cms,slang
1306,cmu,slang
1307,cmyk,slang
1308,cnn,slang
1309,cny,slang
1310,co,slang
1311,coa,slang
1312,cod,slang
1313,col,slang
1314,crb,slang
1315,crbt,slang
1316,cwtsy,slang
1317,cyb,slang
1318,cybi,slang
1319,cydi,slang
1320,cydm,slang
1321,cyf,slang
1322,cyl,slang
1323,cym,slang
1324,dln,slang
1325,dls,slang
1326,dltbbb,slang
1327,dltbgyd,slang
1328,dltm,slang
1329,dlv,slang
1330,dmaf,slang
1331,dmal,slang
1332,dmb,slang
1333,dmc,slang
1334,dmca,slang
1335,dmi,slang
1336,dmiid,slang
1337,dmm,slang
1338,dmml,slang
1339,dms,slang
1340,dmt,slang
1341,dmta,slang
1342,dmv,slang
1343,dmw,slang
1344,dmx,slang
1345,dmy,slang
1346,dmz,slang
1347,dn,slang
1348,dna,slang
1349,dnc,slang
1350,dnd,slang
1351,dndc,slang
1352,dne,slang
1353,dnf,slang
1354,dnftt,slang
1355,dnk,slang
1356,dnm,slang
1357,dnp,slang
1358,dnr,slang
1359,dns,slang
1360,dntk,slang
1361,dnw,slang
1362,doa,slang
1363,dob,slang
1364,doc,slang
1365,dod,slang
1366,doe,slang
1367,dof,slang
1368,dofl,slang
1369,drt,slang
1370,ds,slang
1371,dsd,slang
1372,dsl,slang
1373,dslr,slang
1374,dsp,slang
1375,dss,slang
1376,dst,slang
1377,dt,slang
1378,dta,slang
1379,dtam,slang
1380,dtb,slang
1381,dtc,slang
1382,dtd,slang
1383,dte,slang
1384,dth,slang
1385,dtl,slang
1386,dtm,slang
1387,dtms,slang
1388,dtmwtd,slang
1389,dtp,slang
1390,dtr,slang
1391,dtrt,slang
1392,dtt,slang
1393,dttc,slang
1394,dttm,slang
1395,dtyt,slang
1396,ebm,slang
1397,ebt,slang
1398,elol,slang
1399,eob,slang
1400,eoc,slang
1401,eoe,slang
1402,eof,slang
1403,eog,slang
1404,eol,slang
1405,eom,slang
1406,eor,slang
1407,eos,slang
1408,eot,slang
1409,eotd,slang
1410,eotw,slang
1411,eotwawki,slang
1412,eow,slang
1413,epos,slang
1414,eprom,slang
1415,erp,slang
1416,esa,slang
1417,esb,slang
1418,esd,slang
1419,esl,slang
1420,esol,slang
1421,esp,slang
1422,espn,slang
1423,esrb,slang
1424,est,slang
1425,estd,slang
1426,et,slang
1427,eta,slang
1428,etc,slang
1429,etd,slang
1430,etf,slang
1431,etid,slang
1432,etw,slang
1433,eu,slang
1434,eua,slang
1435,euc,slang
1436,eula,slang
1437,ev,slang
1438,fya,slang
1439,fyc,slang
1440,fye,slang
1441,fyk,slang
1442,fym,slang
1443,fyp,slang
1444,fyr,slang
1445,fyt,slang
1446,g o a t,slang
1447,gafia,slang
1448,gafm,slang
1449,gba,slang
1450,gbfn,slang
1451,gbh,slang
1452,gbml,slang
1453,gbnf,slang
1454,gbp,slang
1455,gbtm,slang
1456,gbtw,slang
1457,gbwy,slang
1458,gby,slang
1459,gc,slang
1460,gcf,slang
1461,gcmg,slang
1462,gcse,slang
1463,gcwok,slang
1464,gd,slang
1465,gdfr,slang
1466,gdi,slang
1467,gdp,slang
1468,ge,slang
1469,ged,slang
1470,gfa,slang
1471,gfak,slang
1472,gfc,slang
1473,gfete,slang
1474,gff,slang
1475,gfi,slang
1476,gfp,slang
1477,gftw,slang
1478,gfu,slang
1479,gfwl,slang
1480,gfy,slang
1481,gg,slang
1482,gga,slang
1483,ggbb,slang
1484,ggg,slang
1485,ggn,slang
1486,ggnore,slang
1487,ggoh,slang
1488,gh,slang
1489,ghb,slang
1490,ghd,slang
1491,giwist,slang
1492,giy,slang
1493,giyf,slang
1494,gj,slang
1495,gjoac,slang
1496,gjwhf,slang
1497,gk,slang
1498,gky,slang
1499,gl,slang
1500,gl hf,slang
1501,gla,slang
1502,glag,slang
1503,glotr,slang
1504,glta,slang
1505,glty,slang
1506,glu,slang
1507,glws,slang
1508,glwt,slang
1509,gm,slang
1510,gma,slang
1511,gmab,slang
1512,gmt,slang
1513,gmv,slang
1514,gmy,slang
1515,gn,slang
1516,gnd,slang
1517,gne,slang
1518,gnfb,slang
1519,gnsd,slang
1520,goat,slang
1521,gomer,slang
1522,gomf,slang
1523,goml,slang
1524,goomf,slang
1525,gooml,slang
1526,gop,slang
1527,gp,slang
1528,gpa,slang
1529,gpc,slang
1530,gpl,slang
1531,gpoy,slang
1532,gpoyw,slang
1533,gprs,slang
1534,gps,slang
1535,gpu,slang
1536,gr,slang
1537,gsd,slang
1538,gsm,slang
1539,gsoh,slang
1540,gsr,slang
1541,gstq,slang
1542,gsw,slang
1543,gtb,slang
1544,gtbb,slang
1545,gtbosh,slang
1546,gtd,slang
1547,gtg,slang
1548,gtgg,slang
1549,gth,slang
1550,gthba,slang
1551,gtho,slang
1552,gtk,slang
1553,gtm,slang
1554,gto,slang
1555,gtrm,slang
1556,gtts,slang
1557,gtw,slang
1558,gu,slang
1559,guti,slang
1560,gw,slang
1561,gwas,slang
1562,gwc,slang
1563,gwg,slang
1564,gwi,slang
1565,gwk,slang
1566,gwp,slang
1567,gwr,slang
1568,gws,slang
1569,gwtf,slang
1570,gwtp,slang
1571,gyaldem,slang
1572,gyc,slang
1573,gyfs,slang
1574,gyo,slang
1575,gyt,slang
1576,hagd,slang
1577,hage,slang
1578,hagl,slang
1579,hago,slang
1580,hags,slang
1581,hagt,slang
1582,haistk,slang
1583,hay,slang
1584,hayd,slang
1585,hayt,slang
1586,hbd,slang
1587,hbk,slang
1588,hbn,slang
1589,hbo,slang
1590,hbp,slang
1591,hbt,slang
1592,hbtu,slang
1593,hbty,slang
1594,hby,slang
1595,hc,slang
1596,hcdajfu,slang
1597,hcit,slang
1598,hd,slang
1599,hdd,slang
1600,hdmi,slang
1601,hdth,slang
1602,hdtv,slang
1603,hdy,slang
1604,hdyd,slang
1605,hdydt,slang
1606,hdyk,slang
1607,he,slang
1608,hea,slang
1609,henry,slang
1610,hf,slang
1611,hffa,slang
1612,hfgl,slang
1613,hfy,slang
1614,hg,slang
1615,hgh,slang
1616,hgi,slang
1617,hgl,slang
1618,hgtv,slang
1619,hgv,slang
1620,hh,slang
1621,hhis,slang
1622,hhoj,slang
1623,hhok,slang
1624,hhvf,slang
1625,hhww,slang
1626,hig,slang
1627,hiik,slang
1628,himym,slang
1629,hiv,slang
1630,hiwth,slang
1631,hjntiy,slang
1632,hk,slang
1633,hl,slang
1634,hlas,slang
1635,hmi,slang
1636,hmihy,slang
1637,hml,slang
1638,hmp,slang
1639,hms,slang
1640,hmul,slang
1641,hmv,slang
1642,hng,slang
1643,hnos,slang
1644,hnr,slang
1645,hny,slang
1646,ho,slang
1647,hoa,slang
1648,hoay,slang
1649,hof,slang
1650,hog,slang
1651,hoh,slang
1652,holland,slang
1653,hov,slang
1654,howdy,slang
1655,hp,slang
1656,hq,slang
1657,hr,slang
1658,hrc,slang
1659,hrh,slang
1660,hsbc,slang
1661,hsh,slang
1662,hsik,slang
1663,hsit,slang
1664,hsl,slang
1665,hsm,slang
1666,hsp,slang
1667,hspda,slang
1668,hst,slang
1669,hsv2,slang
1670,htbt,slang
1671,htc,slang
1672,hte,slang
1673,htg,slang
1674,hthfys,slang
1675,htm,slang
1676,html,slang
1677,htsys,slang
1678,http,slang
1679,https,slang
1680,httr,slang
1681,hu,slang
1682,hua,slang
1683,hvac,slang
1684,hvd,slang
1685,hwb,slang
1686,hwga,slang
1687,hwp,slang
1688,hwsnbn,slang
1689,hwu,slang
1690,hwyd,slang
1691,hyb,slang
1692,hyd,slang
1693,hyfb,slang
1694,hyg,slang
1695,hyh,slang
1696,hyip,slang
1697,hyp,slang
1698,hys,slang
1699,hyu,slang
1700,ia,slang
1701,iab,slang
1702,iabw,slang
1703,iad,slang
1704,iag,slang
1705,iak,slang
1706,ial,slang
1707,ialto,slang
1708,iama,slang
1709,ianad,slang
1710,ias,slang
1711,iau,slang
1712,iaw,slang
1713,iawtc,slang
1714,iawtcsm,slang
1715,iawtp,slang
1716,iay,slang
1717,ib,slang
1718,ib2d,slang
1719,ib4tl,slang
1720,iban,slang
1721,ibb,slang
1722,ibk,slang
1723,ibl,slang
1724,ibm,slang
1725,ibmts,slang
1726,ibs,slang
1727,ibtd,slang
1728,ibtl,slang
1729,ibuwu,slang
1730,ibw,slang
1731,ibyp,slang
1732,icam,slang
1733,icay,slang
1734,icb,slang
1735,icbb,slang
1736,icbi,slang
1737,icbinb,slang
1738,icbm,slang
1739,icbsst,slang
1740,icbw,slang
1741,icc,slang
1742,iccl,slang
1743,icr,slang
1744,icsl,slang
1745,icstay,slang
1746,ict,slang
1747,icu,slang
1748,icw,slang
1749,icydk,slang
1750,idbi,slang
1751,idby,slang
1752,ide,slang
1753,idec,slang
1754,idek,slang
1755,ideky,slang
1756,idewtk,slang
1757,idfg,slang
1758,idfli,slang
1759,idgad,slang
1760,idghp,slang
1761,idgi,slang
1762,idhac,slang
1763,idhtt,slang
1764,idi,slang
1765,idj,slang
1766,idk,slang
1767,idke,slang
1768,idkw,slang
1769,idkwtd,slang
1770,idkwym,slang
1771,idky,slang
1772,idl,slang
1773,idli,slang
1774,idlt,slang
1775,idly,slang
1776,idm,slang
1777,idnk,slang
1778,idr,slang
1779,idrc,slang
1780,idrk,slang
1781,idst,slang
1782,idt,slang
1783,idts,slang
1784,idu,slang
1785,idunno,slang
1786,idw,slang
1787,idwk,slang
1788,idwt,slang
1789,idwtai,slang
1790,idwtk,slang
1791,ie,slang
1792,ied,slang
1793,ieee,slang
1794,iep,slang
1795,ifm,slang
1796,igi,slang
1797,igm,slang
1798,igmc,slang
1799,ign,slang
1800,ignb,slang
1801,ignts,slang
