id,acronym,expansion
111,grl,girl
112,gtsy,good to see you
113,h&k,hugs and kisses
114,h2cus,hope to see you soon
115,h8,hate
116,hag1,have a good one
117,hagn,have a good night
118,hand,have a nice day
119,hawt,have a wonderful day
120,hmb,hit be back
121,hmu,hit me up
122,hoas,hold on a second
123,hru,how are you
124,ht,hat tip or heard through
125,hth,hope this helps
126,hw,homework
127,iac,in any case
128,iae,in any event
129,ianal,i am not a lawyer
130,iao,i am out
131,ic,i see
132,icymi,in case you missed it
133,idc,i do not care
134,ihni,i have no idea
135,iirc,if i remember correctly
136,ikr,i know right
137,ily,i love you
138,im,instant message
139,imho,in my humble opinion
140,imo,in my opinion
141,ims,i am sorry
142,irl,in real life
143,isly,i still love you
144,iso,in search of
145,iu2u,it is up to you
146,iykwim,if you know what i mean
147,j/k,just kidding
148,j4f,just for fun
149,jff,just for fun
150,jic,just in case
151,jlmk,just let me know
152,jmo,just my opinion
153,jsyk,just so you know
154,jw,just wondering
155,k,okay
156,kk,okay
157,kiss,keep it simple stupid
158,kit,keep in touch
159,l8,late
160,l8r,later
161,lho,laughing head off
162,lmao,laughing my ass off
163,lmbo,laughing my butt off
164,lmk,let me know
165,lol,lots of love
166,lol,laughing out loud
167,loti,laughing on the inside
168,ltns,long time no see
169,lylas,love you like a sister
170,lysm,love you so much
171,mc,merry christmas
172,mgmt,management
173,mm,music monday
174,msm,mainstream media
175,mu,miss you
176,myob,mind your own business
177,nagi,not a good idea
178,nfm,not for me
179,nfs,not for sale
180,nm,nothing much
181,nm,not much
182,noyb,none of your business
183,np,no problem
184,nsfl,not safe for life
185,nsfw,not safe for work
186,nts,note to self
187,nvm,never mind
188,oh,overheard
189,oic,oh i see
190,omg,oh my god
191,omw,on my way
192,orly,oh really
193,ot,off topic
194,otb,off to bed
195,otoh,on the other hand
196,otp,on the phone
197,ott,over the top
198,paw,parents are watching
199,pcm,please call me
200,pls,please
201,pov,point of view
202,ppl,people
203,ptb,please text back
204,ptmm,please tell me more
205,qq,crying
206,rak,random act of kindness
207,rbtl,read between the lines
208,rip,rest in peace
209,rl,real life
210,rofl,rolling on the floor laughing
211,"rt ",real time
212,rtm,read the manual
213,rys,are you single
214,sby,somebody
215,sfaik,so far as i know
216,sh,shit happens
217,simyc,sorry i missed your call
218,sis,sister
219,sitd,still in the dark
220,smh,shaking my head
221,sol,sooner or later
222,srsly,seriously
223,sry,sorry
224,ssdd,same stuff different day
225,stby,sucks to be you
226,swak,sealed  with a kiss
227,swyp,so what is your problem
228,tafn,that is all for now
229,tba,to be announced
230,tbc,to be continued
231,tbh,to be honest
232,tbl,text back later
233,tcb,take care of business
234,tfh,thread from hell
235,tfs,thanks for sharing
236,tfti,thanks for the invitation
237,tgif,thank god it is friday
238,thx,thanks
239,tia,thanks in advance
240,tiad,tomorrow is another day
241,time,tears in my eyes
242,tlc,tender loving care
243,tlk2ul8r,talk to you later
244,tmi,too much information
245,tmrw,tomorrow
246,ttyl,talk to you later
247,ttys,talk to you soon
248,tyfyc,thank you for your comment
249,tyvm,thank you very much
250,u4e,you forever
251,ur,your
252,vat,value added tax
253,vbg,very big grin
254,vsf,very sad face
255,wam,wait a minute
256,wb,welcome back
257,wc,who cares
258,we,whatever
259,weg,wicked evil grin
260,witp,what is the point
261,wknd,weekend
262,wtf,what the fuck
263,wth,what the heck
264,wtpa,where the party at
265,wuf,where are you from
266,wycm,will you call me
267,wywh,wish you were here
268,xlnt,excellent
269,xoxo,hugs and kisses
270,ycmu,you crack me up
271,ygm,you have got mail
272,ymmv,your mileage may vary
273,yolo,you only live once
274,ytb,you are the best
275,yw,you are welcome
276,ywsyls,you win some you lose some
277,aab,average at best
278,aac,apple audio compression
279,aaf,always and forever
280,aak,alive and kicking
281,aamof,as a matter of fact
282,aap,always a pleasure
283,aar,at any rate
284,aarp,american association of retired persons
285,aat,and another thing at all times
286,aawy,and also with you
287,aayf,as always your friend
288,abc,american born chinese
289,abd,already been done
290,abdc,"americas best dance crew "
291,abf,all but face
292,abfab,absolutely fabulous
293,abg,asian baby girl
294,abh,actual bodily harm
295,abp,already been posted
296,abu,anyone but  united
297,ac,air conditioning alternating current
298,aclu,american civil liberties union
299,acme,a company that makes everything
300,acp,automatic colt pistol
301,acta,anti counterfeiting trade agreement
302,acu,army combat uniform
303,ad,"anno domini "
304,adad,another day another dollar
305,add,attention deficit disorder
306,aded,all day every day
307,adgth,all dogs go to heaven
308,adhd,attention deficit hyperactivity disorder
309,adl,all day long
310,adn,any day now
311,adr,all due respect
312,ads,aim down sights
313,adsl,asymmetric digital subscriber line
314,adtr,"a day to remember "
315,ae,"american eagle "
316,aeae,and ever and ever
317,aeap,as early as possible
318,afaia,as far as i am aware
319,afaiaa,as far as i am aware
320,afaiac,as far as i am concerned
321,afaic,as far as i am concerned
322,afaics,as far as i can see
323,afaict,as far as i can tell
324,afaik,as far as i know
325,afair,as far as i remember
326,afap,as far as possible
327,afc,away from computer
328,affa,angels forever forever angels
329,afi,"a fire inside "
330,afk,away from keyboard
331,afl,australian football league
332,afn,all for now
333,afp,away from phone
334,afrl,away from real life
335,afs,always forever and seriously
336,agc,automatic gain control
337,agh,are not going to happen
338,agm,annual general meeting
339,agp,accelerated graphics port
340,agt,"americas got talent "
341,agw,all going well
342,ai,artificial intelligence as if
343,aib,am i boverd
344,aids,acquired immune deficiency syndrome
345,aigf,all in good fun
346,aiic,as if i care
347,aikrn,all i know right now
348,aimh,always in my heart
349,ainec,and it is not even close
350,aio,all in one
351,aisb,as i said before
352,aisi,as i see it
353,aitr,adult in the room
354,aityd,and i think you do
355,aiui,as i understand it
356,aiyc,as if you care
357,aj,apple juice
358,aktf,always keep the faith
359,alf,animal liberation front
360,alg,are not life grand
361,alihal,at least i have a life
362,alkqn,almighty latin king and queen nation
363,alol,actually laughing out loud
364,alotbsol,always look on the bright side of life
365,alu,arithmetic logic unit
366,alwp,actual laughter was produced
367,am,"ante meridiem  amplitude modulation "
368,ama,ask me anything against medical advice
369,amaa,ask me almost anything
370,amap,as much as possible
371,amc,american motors corportation
372,amd,advanced micro devices
373,amg,ah my god
374,aml,all my love
375,amn,any minute now
376,amof,as a matter of fact
377,amog,alpha male of group
378,amt,alpha methyltryptamine
379,amv,anime music video
380,amw,"americas most wanted "
381,an,authors note
382,anc,african national congress
383,anfawfos,and now for a word from our sponsor
384,anfscd,and now for something completely different
385,ansi,american national standards institute
386,antm,americas next top model
387,anzac,australian and new zealand army corps
388,ao,adults only
389,aob,any other business
390,aod,all of day
391,aoe,area of effect
392,aok,age of kings  all ok
393,aom,"age of mythology "
394,aon,all or nothing as of now
395,aos,ahead of schedule
396,aot,as opposed to among other things
397,aota,all of the above
398,aots,"attack of the show "
399,aow,all out war
400,aoyp,angel on your pillow
401,ap,associated press
402,apb,all points bulletin
403,apc,armoured personnel carrier
404,api,application programming interface
405,apm,actions per minute
406,apn,as per normal
407,apo,authorized personnel only
408,apu,as per usual
409,apyr,as per your request
410,aq,"adventure quest "
411,aqap,as quickly as possible
412,aqf,ay que funny
413,ar,assault rifle
414,ark,act of random kindness
415,arpa,"advanced research projects agency "
416,arpanet,"advanced research projects agency network "
417,arpu,average revenue per user
418,asaic,as soon as i can
419,asaik,as soon as i know
420,asap,as soon as possible
421,asas,as soon as sensible
422,asat,as simple as that
423,asayc,as soon as you can
424,asbo,anti social behaviour order
425,ascii,american standard code for information interchange
426,aspca,american society for the prevention of cruelty to animals
427,at&t,american telephone and telegraph
428,ata,ait to air actual time of arrival
429,atap,any time any place
430,atb,all the best
431,atc,air traffic control
432,atd,attention to detail
433,ateotd,at the end of the day
434,atf,all time favorite
435,atgatt,"all the gear all the time "
436,ath,all time high
437,atm,"at the moment automated teller machine "
438,atmo,according to my opinion
439,atn,any time now
440,atoy,always thinking of you
441,atq,answer the question
442,atst,at the same time
443,att,at this time all the time
444,attt,are not that the truth
445,atv,all terrain vehicle
446,atvb,all the very best
447,atw,all the way
448,atwa,air trees water animals  all the way alive
449,bac,back at computer blood alcohol content by any chance
450,bacs,bankers automated clearing system
451,bagl,bust a gut laughing
452,bah,bored as hell
453,bb,big brother be back
454,bb4n,bye bye for now
455,bbam,be back after meal
456,bbb,bugging beyond belief
457,bbbw,big beautiful black woman
458,bbc,british broadcasting corporation
459,bbeg,big bad evil guy
460,bbfl,best buds for life
461,bbfn,bye bye for now
462,bbg,best be going
463,bbiab,be back in a bit
464,bbiaf,be back in a few
465,bbiam,be back in a minute
466,bbias,be back in a sec
467,bbiaw,be back in a while
468,bbk,boy better know
469,bbl,be back later
470,bbm,blackberry messaging
471,bbml,be back much later
472,bbn,be back never
473,bbo,being bored online
474,bbq,barbecue better be quick
475,bbr,blonde brunette redhead
476,bbs,be back soon bulletin board system
477,bbt,be back tomorrow
478,bbv,"brags beats and variance "
479,bbw,big beautiful woman
480,bbwl,be back way later
481,bc,before christ
482,bcbw,bow chica bow wow
483,bcc,blind carbon copy
484,bcd,behind closed doors
485,bce,before common era
486,bcf,best cousin forever
487,bcg,birth control glasses
488,bcs,bowl championship series
489,bd,big deal
490,bdn,busy doing nothing
491,bdoml,best day of my life
492,bdu,brain dead user battle dress uniform
493,bfa,best friends always
494,bfab,born from a boombox back for a bit
495,bfam,brother from another mother
496,bfb,better from behind
497,bff,best friends forever
498,bffae,best friends forever and ever best friends for all eternity
499,bffl,best friend for life
500,bffle,best friends for like ever
501,bffltddup,best friends for life till death do us part
502,bffn,best friend for now
503,bffwb,best friend forever with benefits
504,bfitw,best friend in the world
505,bfk,big fat kiss
506,bfmv,"bullet for my valentine "
507,bfn,bye for now
508,bfp,bad for pics big fat positive ie pregnant
509,bftp,blast from the past
510,bfut,best friends until tomorrow
511,bfwb,best friend with benefits
512,bg,bad game baby gangster
513,bgd,black gangster disciples
514,bgf,best girl friend
515,bgl,big game license likes fat people
516,bgm,background music
517,bgt,"britains got talent "
518,bh,be happy bloody hell big head
519,bhd,bad hair day
520,bhh,bless her heart
521,bhl8,be home late
522,bhm,big handsome man
523,bho,barak hussein obama
524,bhs,be home soon
525,biab,back in a bit
526,bic,believe it comrade
527,bicbw,but i could be wrong
528,bieh,best i ever had
529,biffl,best internet friend for life
530,bing,but it is not google
531,bm,bowel movement black man bmw
532,bm4l,best mates for life
533,bmak,blow me a kiss
534,bmb,bebo me back
535,bmbo,blow my brains out
536,bme,body modification ezine
537,bmfe,best mates forever
538,bmfl,best mates for life
539,bmg,be my guest
540,bmi,body mass index
541,bml,bless my life
542,bmoc,big man on campus
543,bms,bitchy men syndrome
544,bmt,before my time basic military training
545,bmth,"bring me the horizon "
546,bmttve,best mates til the very end
547,bmus,beam me up scotty
548,bmv,be my valentine
549,bmw,"bavarian motor works "
550,bmx,bicycle motocross
551,bnb,bad news bears bed n breakfast bread n butter
552,bnf,big name fan
553,bni,batteries not included
554,bnib,brand new in box
555,bnoc,big name on campus
556,bnp,british national party
557,bnr,but not really
558,bnwot,brand new without tags
559,bnwt,brand new with tags
560,bo,body odour
561,boat,bust out another thousand
562,bobfoc,body off baywatch face off crimewatch
563,boed,"book of exalted deeds "
564,bogo,buy one get one
565,bogof,buy one get one free
566,bogsat,bunch of guys sitting around talking
567,cc,credit card carbon copy crowd control country code
568,ccc,coricidin cough and cold
569,ccg,collectible card game
570,ccie,cisco certified internetwork expert
571,ccl,could not care less
572,ccna,cisco certified network associate
573,ccr,"creedence clearwater revival "
574,cctv,closed circuit television
575,ccw,counterclockwise carrying a concealed weapon
576,cd,compact disc cross dresser
577,cdc,cult of the dead cow crudely drawn cock
578,cdma,code division multiple access
579,cd rw,compact disk rewritable
580,clwy,cannot live without you
581,cm,call me
582,cmar,cry me a river
583,cmb,call me back
584,cme,close my eyes
585,cmeo,crying my eyes out
586,cmh,cross my heart
587,cmho,cry my heart out
588,cmi,count me in
589,cmiiw,correct me if i am wrong
590,cmiyc,catch me if you can
591,cml,call me later
592,cmn,call me now
593,cmos,complementary metal oxide semiconductor
594,cms,content management system
595,cmu,cracks me up
596,cmyk,cyan magenta yellow key
597,cnn,cable news network
598,cny,chinese new year
599,co,commanding officer corrections officer company counter offer
600,coa,certificate of authenticity
601,cod,cash on delivery  call of duty
602,col,crying out loud
603,crb,"criminal records bureau "
604,crbt,crying real big tears
605,cwtsy,cannot wait to see you
606,cwyl,chat with you later
607,cyb,count your blessings
608,cybi,can you believe it
609,cydi,can you dig it
610,cydm,check your direct messages
611,cye,check your email
612,cyf,cross your fingers
613,cyl,catch you later
614,cym,check your mail
615,dln,do not look now
616,dls,dirty little secret
617,dltbbb,do not let the bed bugs bite
618,dltbgyd,do not let the bastards grind you down
619,dltm,do not lie to me
620,dlv,demonstration of lower value
621,dm,do not mind does not matter direct message
622,dmaf,do not make a fuss
623,dmal,drop me a line
624,dmb,dave matthews band
625,dmc,deep meaningful conversation
626,dmca,digital millennium copyright act
627,dmi,do not mention it
628,dmiid,do not mind if i do
629,dmm,do not mind me
630,dmml,do not make me laugh
631,dms,dirty money syndicate
632,dmt,"di methyl tryptamine "
633,dmta,dirty minds think alike
634,dmv,department of motor vehicles
635,dmw,dead man walking
636,dmx,"dark man x "
637,dmy,do not mess yourself
638,dmz,de militarized zone
639,dn,doing nothing
640,dna,deoxyribonucleic acid did not attend does not apply
641,dnc,democratic national committee
642,dnd,do not disturb
643,dndc,do not know do not care
644,dne,do not erase does not exist
645,dnf,did not finish
646,dnftt,do not feed the troll
647,dnk,do not know
648,dnm,does not matter deep and meaningful
649,dnp,do not post
650,dnr,do not resuscitate
651,dns,domain name service did not start
652,dntk,do not need to know
653,dnw,do not want
654,doa,dead on arrival deteriorate on approach
655,dob,date of birth
656,doc,doctor drug of choice
657,dod,day of defeat
658,doe,depends on experience
659,dof,depth of field
660,dofl,dying on floor laughing
661,drt,dead right there
662,ds,darling son
663,dsd,do some damage
664,dsl,digital subscriber line
665,dslr,"digital single lens reflex "
666,dsp,digital signal processing
667,dss,department of social services
668,dst,daylight saving time
669,dt,down town
670,dta,do not trust anyone
671,dtam,death to all men
672,dtb,do not text back
673,dtc,down to cuddle
674,dtd,drunk till dawn drunk till death
675,dte,down to earth
676,dth,down to hang
677,dtl,does the look
678,dtm,doing too much dead to me
679,dtms,does that make sense
680,dtmwtd,do not tell me what to do
681,dtp,disturbing the peace
682,dtr,define the relationship
683,dtrt,do the right thing
684,dts,down the shore down to snuggle
685,dtt,do not touch that
686,dttc,do not text the cell
687,dttm,do not talk to me
688,dtyt,do not take your time
689,ebm,electronic body music
690,ebt,electronic benefits transfer
691,elol,evil laugh out loud
692,eob,end of business
693,eoc,end of conversion
694,eod,end of discussion
695,eoe,equal opportunity employer
696,eof,end of file
697,eog,end of grade
698,eol,end of lecture
699,eom,end of message
700,eor,end of rant
701,eos,end of show
702,eot,"end of thread "
703,eotd,end of the day
704,eotw,end of the world
705,eotwawki,end of the world as we know it
706,eow,end of watch
707,epos,electronic point of sale
708,eprom,electronically programmable rom
709,erp,erotic role play
710,esa,european space agency
711,esb,"empire stikes back "
712,esd,electro static discharge
713,esl,english as second language
714,esol,english for speakers of other languages
715,esp,extra sensory perception
716,espn,entertainment and sports programming network
717,esrb,entertainment software rating board
718,est,eastern standard time established
719,estd,easier said than done
720,et,extra terrestrial
721,eta,estimated time of arrival edited to add
722,etc,"et cetera "
723,etd,estimated time of departure
724,etf,"escape the fate "
725,etid,"everytime i die "
726,etw,enjoy the weekend
727,eu,european union
728,eua,end user agreement
729,euc,excellent used condition
730,eula,end user license agreement
731,ev,expected value
732,fya,for your amusement
733,fyc,for your convenience for your consideration
734,fye,for your entertainment
735,fyeo,for your eyes only
736,fyi,for your information
737,fyk,for your knowledge
738,fym,free your mind
739,fyp,fixed your post
740,fyr,for your review for your records
741,fyt,for your time
742,g o a t,greatest of all time
743,ga,go ahead
744,gac,guilty as charged get a clue
745,gafia,get away from it all
746,gafm,get away from me
747,gb,great britain gigabyte
748,gba,god bless america
749,gbfn,goodbye for now
750,gbh,grievous bodily harm
751,gbml,good bye my love
752,gbnf,gone but not forgotten
753,gbp,"great british pounds "
754,gbtm,get back to me
755,gbtw,get back to work
756,gbu,god bless you
757,gbwy,god be with you
758,gby,god bless you
759,gc,good contition
760,gcf,good clean fun
761,gcmg,god calls me god
762,gcse,"general certificate of secondary education "
763,gcwok,gay couple without kids
764,gd,gangsta disciple
765,gdfr,going down for real
766,gdi,god damn it
767,gdp,gross domestic product
768,ge,good evening
769,ged,general educational development
770,gfa,grenade free america
771,gfak,go fly a kite
772,gfc,global financial crisis
773,gfete,grinning from ear to ear
774,gff,grenade free foundation
775,gfi,go for it
776,gfn,gone for now
777,gfp,good for pics
778,gftw,go for the win
779,gfu,good for you
780,gfwl,games for windows live
781,gfy,good for you
782,gg,good game
783,gga,good game all
784,ggbb,good game bye bye
785,ggg,"good giving and game "
786,ggn,got to go now
787,ggnore,good game no rematch
788,ggoh,got to get outta here
789,gh,guitar hero
790,ghb,"gamma hydroxybutyrate "
791,ghd,good hair day
792,giwist,gee i wish i would said that
793,giy,google it yourself
794,giyf,google is your friend
795,gj,good job
796,gjoac,go jump off a cliff
797,gjwhf,girls just want to have fun
798,gk,good kid
799,gky,go kill yourself
800,gl,good luck good looking
801,gl hf,good luck have fun
802,gla,good luck all
803,glag,giggling like a girl
804,glotr,good luck on the rebuild
805,glta,good luck to all
806,glty,good luck to you
807,glu,girls like us
808,glws,good luck with sale
809,glwt,good luck with that
810,gm,general motors good morning genetically modified good move
811,gma,good morning america
812,gmab,give me a break
813,gmt,greenwich mean time
814,gmta,great minds think alike
815,gmv,got my vote
816,gmy,good man yourself
817,gn,good night
818,gnd,girl next door
819,gne,good night and everything
820,gnfb,good night facebook
821,gnsd,good night sweet dreams
822,goat,greatest of all time
823,gomer,get out of my emergency room unwelcome patient
824,gomf,get outta my face
825,goml,get on my level
826,goomf,get out of my face
827,gooml,get out of my life
828,gop,grand old party
829,gp,general principle
830,gpa,grade point average
831,gpc,generic pack of cigarettes
832,gpl,general public license
833,gpoy,gratuitous picture of yourself
834,gpoyw,gratuitous picture of yourself wednesday
835,gprs,general packet radio services
836,gps,global positioning system
837,gpu,graphics processing unit
838,gr,got to run
839,gsd,getting stuff done
840,gsm,global system for mobile communications
841,gsoh,good sense of humor
842,gsr,gun shot residue
843,gstq,god save the queen
844,gsw,gun shot wound
845,gtb,go to bed
846,gtbb,good to be back
847,gtbosh,glad to be of some help
848,gtd,getting things done
849,gtg,got to go
850,gtgg,got to get going
851,gth,go to hell
852,gthba,good times had by all
853,gtho,get the hell out
854,gtk,good to know
855,gtm,giggling to myself
856,gto,gran turismo omologato
857,gtrm,going to read mail
858,gtsy,good to see you
859,gtts,got the t shirt
860,gtw,got to work
861,gu,grow up
862,guti,get used to it
863,gw,good work
864,gwas,game was a success
865,gwc,guy with camera
866,gwg,girl with glasses
867,gwi,get with it
868,gwk,game winning kill
869,gwp,gift with purchase
870,gwr,guinness world records
871,gws,get well soon
872,gwtf,go with the flow
873,gwtp,get with the program
874,gyaldem,group of girls
875,gyc,get your coat
876,gyfs,get your facts straight
877,gyo,get your own
878,gyt,get yourself tested
879,hagd,have a good day
880,hage,have a good evening
881,hagl,have a good life
882,hagn,have a good night
883,hago,have a good one
884,hags,have a great summer
885,hagt,have a great time
886,haistk,how am i supposed to know
887,hand,have a nice day
888,hawt,hot having a wonderful time
889,hay,how are you
890,hayd,how are you doing
891,hayt,how are you today
892,hbd,happy birthday
893,hbk,heart break kid
894,hbn,how about now
895,hbo,home box office
896,hbp,"half blood prince "
897,hbt,how bout that
898,hbtu,happy birthday to you
899,hbty,happy birthday to you
900,hby,how about you
901,hc,holy cow
902,hcdajfu,he could do a job for us
903,hcit,how cool is that
904,hd,high definition
905,hdd,hard disk drive
906,hdmi,high definition multimedia interface
907,hdth,how did that happen
908,hdtv,high definition television
909,hdy,how dare you
910,hdyd,how do you do
911,hdydt,how did you do that
912,hdyk,how do you know
913,he,happy ending high explosives
914,hea,happily ever after
915,henry,high earner not rich yet
916,hf,have fun
917,hffa,hot from far away
918,hfgl,have fun good luck
919,hfy,here for you happy for you
920,hg,holy grail
921,hgh,haters going to hate
922,hgi,how goes it
923,hgl,happy go lucky
924,hgtv,home and garden television
925,hgv,heavy goods vehicle
926,hh,holding hands
927,hhis,hanging head in shame
928,hhoj,ha ha only joking
929,hhok,ha ha only kidding
930,hhvf,ha ha very funny
931,hhww,holding hands while walking
932,hig,how is it going
933,hiik,hell if i know
934,himym,"how i met your mother "
935,hiv,human immunodeficiency virus
936,hiwth,hate it when that happens
937,hjntiy,he is just not that into you
938,hk,hong kong hostile kids
939,hl,"half life "
940,hlas,hook line and sinker
941,hmb,"hit me back "
942,hmi,human machine interface
943,hmihy,how may i help you
944,hml,hate my life
945,hmp,help me please
946,hms,"her majestys ship "
947,hmu,hit me up
948,hmul,hit me up later
949,hmv,his masters voice
950,hng,horny net geek
951,hnos,home network operating system
952,hnr,hit n run
953,hny,happy new year
954,ho,hold on head office
955,hoa,home owners association
956,hoas,hold on a second
957,hoay,how old are you
958,hof,hall of fame heavy on flag
959,hog,harley owner group
960,hoh,head over heels  hard of hearing
961,holland,hope our love lasts and never dies
962,hov,high occupancy vehicle
963,howdy,how do you do
964,hp,harry potter
965,hq,high quality
966,hr,human resources
967,hrc,human rights campaign
968,hrh,her royal highness
969,hsbc,hong kong and shanghai banking corporation
970,hsh,home sweet home
971,hsik,how should i know
972,hsit,how sad is that
973,hsl,hue saturation lightness
974,hsm,high school musical
975,hsp,highly sensitive person
976,hspda,high speed packet data access
977,hst,high speed train
978,hsv2,herpes simplex virus 2
979,ht,hat tip  home time handheld transceiver
980,htbt,had to be there
981,htc,hit the cell
982,hte,hard to explain
983,htg,hard to get
984,hth,hope that helps how the hell
985,hthfys,hope to hear from you soon
986,htm,hand to mouth
987,html,hypertext markup language
988,htsys,hope to see you soon
989,http,hyper text transfer protocol
990,https,hyper text transfer protocol secure
991,httr,hail to the redskins
992,hu,"hollywood undead "
993,hua,heard understood acknowledged
994,hvac,heating ventilating air conditioning
995,hvd,happy valentines day
996,hwb,hottie with body
997,hwga,here we go again
998,hwp,height weight proportional
999,hwsnbn,he who shall not be named
1000,hwu,hey what is up
1001,hwyd,how was your day
1002,hyb,how you been
1003,hyd,how ya doing
1004,hyfb,hope you feel better
1005,hyg,here you go
1006,hyh,have you heard hold your horses
1007,hyip,high yield investment program
1008,hyp,harvard yale princeton
1009,hys,have your say
1010,hyu,hit you up
1011,ia,i agree
1012,iab,i am bored
1013,iabw,in a bad way
1014,iac,in any case
1015,iad,it all depends
1016,iae,in any event
1017,iag,it is all good
1018,iak,i already know
1019,ial,i are not laughing i actually laughed
1020,ialto,i always love that one
1021,iama,i am mildly amused
1022,ianad,i am not a doctor
1023,ianal,"i am not a lawyer "
1024,ias,in a second
1025,iau,i adore you
1026,iaw,in accordance with i agree with
1027,iawtc,i agree with that comment
1028,iawtcsm,i agree with this comment so much
1029,iawtp,i agree with this post
1030,iay,i adore you
1031,ib,i am back
1032,ib2d,i beg to differ
1033,ib4tl,in before the lock
1034,iban,international bank account number
1035,ibb,i will be back
1036,ibk,idiot behind keyboard
1037,ibl,in before lock
1038,ibm,international business machines
1039,ibmts,i have been meaning to say
1040,ibs,irritable bowel syndrome
1041,ibtd,in before the delete i beg to differ
1042,ibtl,in before the lock
1043,ibuwu,i am breaking up with you
1044,ibw,i will be waiting
1045,ibyp,i beg your pardon
1046,icam,i could not agree more
1047,icay,i care about you
1048,icb,i cannot believe
1049,icbb,i cannot be bothered
1050,icbi,i cannot believe it
1051,icbinb,i cannot believe it is not butter
1052,icbm,intercontinental ballistic missile
1053,icbsst,i cannot believe she said that
1054,icbw,it could be worse
1055,icc,"ice crown citadel "
1056,iccl,i could not care less
1057,icr,i cannot remember
1058,icsl,i could not stop laughing
1059,icstay,i cannot stop thinking about you
1060,ict,information and communication technology
1061,icu,intensive care unit i see you
1062,icw,in connection with i cannot wait
1063,icydk,in case you did not know
1064,icymi,in case you missed it
1065,idbi,i do not believe it
1066,idby,i do not believe you
1067,idc,i do not care
1068,ide,integrated development environment integrated device electronics
1069,idec,i do not even care
1070,idek,i do not even know
1071,ideky,i do not even know you
1072,idewtk,i do not even want to know
1073,idfg,i do not feel good
1074,idfli,i do not feel like it
1075,idgad,i do not give a damn
1076,idghp,i do not get hashtag phrases i do not get his or her point i do not generally hate people
1077,idgi,i do not get it
1078,idhac,i do not have a clue
1079,idhtt,i do not have the time
1080,idi,i doubt it
1081,idj,i do not judge
1082,idk,i do not know
1083,idke,i do not know either
1084,idkw,i do not know why
1085,idkwtd,i do not know what to do
1086,idkwym,i do not know what you mean
1087,idky,i do not know why
1088,idl,"i do not like "
1089,idli,i do not like it
1090,idlt,i do not like that
1091,idly,i do not like you
1092,idm,it does not matter intelligent dance music
1093,idk,i do not know
1094,idnk,i do not know
1095,idr,i do not remember
1096,idrc,i do not really care
1097,idrk,i do not really know
1098,idst,if destroyed still true
1099,idt,i do not think
1100,idts,i do not think so
1101,idu,i do not understand
1102,idunno,i do not know
1103,idw,i do not want
1104,idwk,i do not want to know
1105,idwt,i do not want to
1106,idwtai,i do not want to talk about it
1107,idwtk,i do not want to know
1108,ie,id est  internet explorer
1109,ied,improvised explosive device
1110,ieee,institute of electrical and electronics engineers
1111,iep,individualized education program
